state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,sacramento,1761,apartment,0,1,632,"(38.581, -121.496)"
ca,sacramento,rosemont,1420,apartment,1,1,650,"(38.5425, -121.372)"
ca,sacramento,vacaville,1950,apartment,2,2,850,"(38.3418, -121.971)"
ca,sacramento,citrus heights,1176,apartment,1,0,592,"(38.6795, -121.281)"
ca,sacramento,elk grove,1919,apartment,2,2,1058,"(38.4243, -121.437)"
ca,sacramento,citrus heights,1400,apartment,2,1.5,956,"(38.6946, -121.269)"
ca,sacramento,citrus heights,1285,apartment,1,1,710,"(38.6946, -121.269)"
ca,sacramento,citrus heights,1385,apartment,1,1,760,"(38.7062, -121.276)"
ca,sacramento,rancho cordova,1217,apartment,1,1,704,"(38.5786, -121.295)"
ca,sacramento,folsom,2425,apartment,3,2,1368,"(38.6668, -121.152)"
ca,sacramento,fair oaks,1687,apartment,2,2,1130,"(38.6639, -121.27)"
ca,sacramento,foothill farms,1635,apartment,2,2,842,"(38.6627, -121.341)"
ca,sacramento,elk grove,1600,apartment,2,2,1067,"(38.428, -121.418)"
ca,sacramento,rancho cordova,1869,apartment,2,2,1103,"(38.5834, -121.296)"
ca,sacramento,foothill farms,1485,apartment,2,2,920,"(38.6765, -121.323)"
ca,sacramento,elk grove,1948,apartment,3,2,1232,"(38.428, -121.418)"
ca,sacramento,west sacramento,1939,apartment,2,2,1233,"(38.5673, -121.552)"
ca,sacramento,florin,1699,apartment,2,2,1032,"(38.4535, -121.412)"
ca,sacramento,sacramento,1830,apartment,2,1,941,"(38.6128, -121.505)"
ca,sacramento,rocklin,1640,apartment,1,1,663,"(38.7515, -121.245)"
ca,sacramento,woodland,1180,apartment,1,1,600,"(38.6564, -121.766)"
ca,sacramento,fairfield,1785,apartment,2,2,875,"(38.2541, -122.02)"
ca,sacramento,sacramento,1990,apartment,2,2,1015,"(38.6128, -121.505)"
ca,sacramento,folsom,1820,apartment,1,1,829,"(38.6668, -121.152)"
ca,sacramento,florin,1399,apartment,1,1,758,"(38.4537, -121.412)"
ca,sacramento,folsom,1770,apartment,1,1,700,"(38.6668, -121.152)"
ca,sacramento,orangevale,1257,apartment,1,1,560,"(38.6792, -121.226)"
